Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posting Date,Job ID,URL
Japanese Speaking Procurement Officer (Up to 25K)(SDG-98276),RGF HR Agent Hong Kong Limited,,FALSE,Hong Kong,Retail & Consumer Products,"$20,000 - $25,000 per month",2024-06-27 18:00,76857908,https://hk.jobsdb.com/job/76857908
Business Analyst (Ref:JD/DTBA),Build King Management Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-19 18:00,76679367,https://hk.jobsdb.com/job/76679367
Senior Project Manager / Project Manager - Critical Facilities (MEP) Data Centre,Arcadis,1,TRUE,Hong Kong,Construction,,2024-06-27 18:00,76870023,https://hk.jobsdb.com/job/76870023
"Digital Centre of Excellence (Assistant) Manager, Business Insights",DFI Development (HK) Limited,5,FALSE,"Quarry Bay, Eastern District",Consulting & Strategy,,2024-06-28 18:00,76887741,https://hk.jobsdb.com/job/76887741
Senior Credit Analyst,Bangkok Bank Public Co Ltd,8,FALSE,"Central, Central and Western District",Banking & Financial Services,,2024-06-27 18:00,76862598,https://hk.jobsdb.com/job/76862598
"Senior Project Executive / Project Executive, IT & Digital",Prizm,2,TRUE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,75047127,https://hk.jobsdb.com/job/75047127
IT Project Manager,HGC Global Communications Limited,3,FALSE,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-06-28 18:00,74483721,https://hk.jobsdb.com/job/74483721
"Manager, Business Consultant",Goldfinity Company Limited,8,FALSE,Hong Kong Island,Consulting & Strategy,"$70,000 - $80,000 per month",2024-06-27 18:00,76866243,https://hk.jobsdb.com/job/76866243
"Business analyst (Perm role, digital project, 25k-32k)",Linkers International Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$25,000 - $32,000 per month",2024-06-18 18:00,76644527,https://hk.jobsdb.com/job/76644527
(Up to 55K-75K) System Analyst/ Analyst Programmer / Business Analyst(E-Banking),Seamatch Asia Limited,2,TRUE,Central and Western District,Information & Communication Technology,"$55,000 - $75,000 per month",2024-06-24 18:00,76772146,https://hk.jobsdb.com/job/76772146
"Data Analyst (Operation), Double Pay, MNC, Reporting",Manpower Services (Hong Kong) Limited,3,FALSE,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-06-27 18:00,76879769,https://hk.jobsdb.com/job/76879769
Multiple headcount**Manual QA Tester (Junior candidate is welcome),TEKsystems,1,FALSE,Others,Information & Communication Technology,"$18,000 - $25,000 per month",2024-06-29 18:00,76912918,https://hk.jobsdb.com/job/76912918
Business Analyst,AT Global Services Limited,3,FALSE,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-06-18 18:00,76657188,https://hk.jobsdb.com/job/76657188
MARKET ANALYST,**Private,,TRUE,"Tsim Sha Tsui, Yau Tsim Mong District",Marketing & Communications,"$18,000 - $20,000 per month",2024-06-24 18:00,76788858,https://hk.jobsdb.com/job/76788858
Senior Digital Project Executive / Digital Project Executive (Ref: CRi/DPE),Commercial Radio Productions Ltd,2,FALSE,"Kowloon Tong, Kowloon City District",Marketing & Communications,,2024-06-27 18:00,76869560,https://hk.jobsdb.com/job/76869560
Business Valuation Analyst/Senior Analyst,Hong Kong Appraisal Advisory Limited,,FALSE,Hong Kong,Information & Communication Technology,"$11,333 - $16,999 per month",2024-06-24 18:00,76791546,https://hk.jobsdb.com/job/76791546
Analyst Programmer (Business Central) at Nissin Foods Co Ltd,Jobsdb - SmartHire,3,TRUE,"Tai Po, Tai Po District",Information & Communication Technology,,2024-06-25 18:00,76559301,https://hk.jobsdb.com/job/76559301
Project Associate (Ref.No.:HKRITA-0621-01),HK Research Institute of Textiles & Apparel Ltd,3,FALSE,"Tseung Kwan O Industrial Estate, Sai Kung District",Marketing & Communications,,2024-06-28 18:00,76896712,https://hk.jobsdb.com/job/76896712
Project Manager - IT Project,Nexify Limited,8,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-28 18:00,76912022,https://hk.jobsdb.com/job/76912022
Business Analyst (Core Banking),Bank of China (Hong Kong) Limited,3,FALSE,"Fo Tan, Sha Tin District",Information & Communication Technology,,2024-06-18 18:00,76656022,https://hk.jobsdb.com/job/76656022
IT Project Executive/IT Project Support (Application/ Software Development),Sino United Publishing (Holdings) Limited,2,FALSE,"Tin Hau, Eastern District",Information & Communication Technology,,2024-06-29 18:00,76912850,https://hk.jobsdb.com/job/76912850
Business Analyst - Cargo Distribution (5-Day Work),Global Logistics System (HK) Co Ltd,,FALSE,"Airport Area, Islands District",Information & Communication Technology,,2024-06-28 18:00,76911099,https://hk.jobsdb.com/job/76911099
IT Business Analyst,Sime Darby Motor Services Limited,3,FALSE,Tsuen Wan District,Information & Communication Technology,,2024-06-18 18:00,76646980,https://hk.jobsdb.com/job/76646980
Project Manager,Crystal International Group Limited,8,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76908132,https://hk.jobsdb.com/job/76908132
Solution Lead - Cargo,Cathay Pacific Airways Ltd,8,TRUE,"Lantau Island, Islands District",Information & Communication Technology,,2024-06-29 18:00,76122284,https://hk.jobsdb.com/job/76122284
"Claims Analyst, Service Improvement (Business Analyst)",BUPA Asia Limited,1,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76912401,https://hk.jobsdb.com/job/76912401
Financial Analyst,Huachin Mining Limited,3,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-28 18:00,76909091,https://hk.jobsdb.com/job/76909091
Assistant Project Manager / Project Manager,Equal Rich Enterprise Limited,,FALSE,"Tsuen Wan, Tsuen Wan District",Construction,,2024-06-29 18:00,76929602,https://hk.jobsdb.com/job/76929602
"Claims Analyst, Service Improvement (Business Analyst)",BUPA Asia Limited,1,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76912365,https://hk.jobsdb.com/job/76912365
Business Analyst,AXA Hong Kong,2,FALSE,"Wong Chuk Hang, Southern District",Information & Communication Technology,discretionary bonus,2024-06-17 18:00,76615483,https://hk.jobsdb.com/job/76615483
Product Consultant,Gain Miles Assurance Consultants Limited,1,FALSE,"Kwun Tong, Kwun Tong District",Insurance & Superannuation,,2024-06-28 18:00,76912311,https://hk.jobsdb.com/job/76912311
Deputy Project Manager - Digital Transformation (Ref: JD-DPM),Public Bank (Hong Kong) Ltd,7,TRUE,Hong Kong,Banking & Financial Services,,2024-06-28 18:00,74481265,https://hk.jobsdb.com/job/74481265
"Officer/ Senior Officer,Business Management - Security Business Department",Industrial and Commercial Bank of China (Asia) Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Administration & Office Support,,2024-06-29 18:00,76912824,https://hk.jobsdb.com/job/76912824
"Assistant Manager/Manager, Business Intelligence and Analytics",**Private,5,TRUE,"Mong Kok, Yau Tsim Mong District",Information & Communication Technology,,2024-06-28 18:00,76903976,https://hk.jobsdb.com/job/76903976
Assistant Business Analyst (Ref: SSO/IT/ABA/JDB),Haven of Hope Christian Service,1,FALSE,"Tseung Kwan O, Sai Kung District",Information & Communication Technology,,2024-06-28 18:00,76895038,https://hk.jobsdb.com/job/76895038
Business Analyst (Fresh graduate is welcomed),Junbell Global Consulting Limited,,FALSE,"Kwai Chung, Kwai Tsing District",Information & Communication Technology,,2024-06-28 18:00,76903767,https://hk.jobsdb.com/job/76903767
Business Analyst/ Controller,Grand Trade Star Limited,,FALSE,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-26 18:00,76847644,https://hk.jobsdb.com/job/76847644
"Supervisor, Solution Analyst",Hong Kong Airlines Limited,3,FALSE,"Airport Area, Islands District",Information & Communication Technology,,2024-06-26 18:00,76830604,https://hk.jobsdb.com/job/76830604
Financial Analyst,HGC Global Communications Limited,3,FALSE,"Tsing Yi, Kwai Tsing District",Accounting,,2024-06-28 18:00,76817090,https://hk.jobsdb.com/job/76817090
Premier Relationship Manager - Wealth and Personal Banking,HSBC,,FALSE,Central and Western District,Banking & Financial Services,,2024-06-29 18:00,76913104,https://hk.jobsdb.com/job/76913104
IT Business Analyst,JFE Consulting Limited,,FALSE,Hong Kong,Information & Communication Technology,,2024-06-25 18:00,76818476,https://hk.jobsdb.com/job/76818476
Innovation Business Specialist (Sales Channel Management),Hutchison Telecommunications (Hong Kong) Limited,3,FALSE,"Tsing Yi, Kwai Tsing District",Marketing & Communications,,2024-06-28 18:00,76907084,https://hk.jobsdb.com/job/76907084
Senior / Systems Analyst,Bangkok Bank Public Co Ltd,5,FALSE,"Central, Central and Western District",Information & Communication Technology,,2024-06-27 18:00,75705204,https://hk.jobsdb.com/job/75705204
"Business Analyst, Data Governance",Cathay Pacific Airways Ltd,3,FALSE,"Lantau Island, Islands District",Information & Communication Technology,,2024-06-21 18:00,76738297,https://hk.jobsdb.com/job/76738297
Project Analyst,iFAST Financial (HK) Limited,1,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-06-26 18:00,76842110,https://hk.jobsdb.com/job/76842110
Market Analyst,HKT Enterprise Solutions,3,FALSE,"Quarry Bay, Eastern District",Marketing & Communications,,2024-06-26 18:00,76832740,https://hk.jobsdb.com/job/76832740
"Executive, Portfolio Management",MSIG Insurance (Hong Kong) Limited,1,FALSE,"Tai Koo, Eastern District",Insurance & Superannuation,,2024-06-29 18:00,74890978,https://hk.jobsdb.com/job/74890978
Business Development Executive,OSIM (HK) Co. Limited,2,FALSE,Sha Tin District,Sales,,2024-06-28 18:00,76912286,https://hk.jobsdb.com/job/76912286
Business Analyst - MNC - Flexibility with work from home,TEKsystems,3,FALSE,Kwun Tong District,Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-17 18:00,76610125,https://hk.jobsdb.com/job/76610125
IT Business Analyst / Project Manager (Banking project),"CLPS Technology (Hong Kong) Co., Limited",2,FALSE,"North Point, Eastern District",Information & Communication Technology,,2024-06-22 18:00,76761718,https://hk.jobsdb.com/job/76761718
IT Business Analyst (CRM Application),Dah Chong Hong Motors International Holdings Limited,,TRUE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-27 18:00,75513688,https://hk.jobsdb.com/job/75513688
"KYC Onboarding Manager, Transfer Agency",Morgan Mckinley Limited,3,TRUE,Central and Western District,Banking & Financial Services,$40k - $45k p.m.,2024-06-28 18:00,76905455,https://hk.jobsdb.com/job/76905455
"Investment Associate  (Fresh Grad welcome, start from Investment Trainee)",Antnergy Social Resources,,FALSE,"Causeway Bay, Wan Chai District",Banking & Financial Services,,2024-06-29 18:00,76929681,https://hk.jobsdb.com/job/76929681
"System Analyst (MySQL, IT Event Management)",CL Technical Services Ltd.,4,FALSE,"Cheung Sha Wan, Sham Shui Po District",Information & Communication Technology,"$50,000 - $67,000 per month",2024-06-26 18:00,76836754,https://hk.jobsdb.com/job/76836754
Business Solution Assistant,DKSH Hong Kong Limited,,FALSE,Southern District,Information & Communication Technology,,2024-06-28 18:00,76885618,https://hk.jobsdb.com/job/76885618
Project Manager - IT,JFE Consulting Limited,5,FALSE,Hong Kong,Information & Communication Technology,,2024-06-28 18:00,76910655,https://hk.jobsdb.com/job/76910655
Senior Business Analyst - eFX IT at Optimum Solutions (Hong Kong) Limited,Jobsdb - SmartHire,,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,,2024-06-25 18:00,76383642,https://hk.jobsdb.com/job/76383642
Tax - APTC - Tax Technology and Transformation (AI & Data) - Senior/Manager - HK,EY,,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-28 18:00,76895816,https://hk.jobsdb.com/job/76895816
Business Analyst - Business Solutions,B.S.C. Group Limited,,FALSE,"Chai Wan, Eastern District",Information & Communication Technology,,2024-06-24 18:00,74758525,https://hk.jobsdb.com/job/74758525
Billing Analysis and Digitalization Executive,China Telecom Global Limited,2,FALSE,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-06-26 18:00,76843691,https://hk.jobsdb.com/job/76843691
Business Analyst - Insurance client,DB Results Limited,5,FALSE,Hong Kong Island,Information & Communication Technology,,2024-06-17 18:00,76611224,https://hk.jobsdb.com/job/76611224
IT Business Analyst / Project Manager ( 25 - 60K ) | Junior to Senior,Osmium Consulting Group Limited,2,TRUE,"Mong Kok, Yau Tsim Mong District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-06-17 18:00,76610637,https://hk.jobsdb.com/job/76610637
"Senior Analyst (CRM), SQL, Python, Power BI ($30-35K)",Don Nelson Recruitment Limited,4,FALSE,"Chai Wan, Eastern District",Information & Communication Technology,"$30,000 - $35,000 per month",2024-06-26 18:00,76843656,https://hk.jobsdb.com/job/76843656
Senior Project Executive/Project Executive - E-Commerce,Chow Sang Sang Holdings International Limited,2,FALSE,"Cheung Sha Wan, Sham Shui Po District",Information & Communication Technology,,2024-06-28 18:00,76909035,https://hk.jobsdb.com/job/76909035
Project Manager,Master Concept (Hong Kong) Limited,,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-27 18:00,76877573,https://hk.jobsdb.com/job/76877573
Associate Business Analyst (Software Development and Implementation),Million Tech Development Ltd,1,TRUE,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-24 18:00,76780956,https://hk.jobsdb.com/job/76780956
IT Business Analyst,FundPark Limited,1,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-25 18:00,76806561,https://hk.jobsdb.com/job/76806561
Application Support Analyst (Investment Bank),PERSOLKELLY Hong Kong Limited,2,FALSE,Central and Western District,Information & Communication Technology,,2024-06-28 18:00,76905143,https://hk.jobsdb.com/job/76905143
Junior Trader in the Pulp and Paper Industry (m/f/d) - South-East Asia,Europcell Hong Kong Limited,,FALSE,Sha Tin District,Sales,,2024-06-27 18:00,76852079,https://hk.jobsdb.com/job/76852079
"Project Manager (Lifting Appliances) - Perm, up to 40-50k (Ref_4017)",TalentQuest HR Limited,8,FALSE,Central and Western District,Engineering,,2024-06-29 18:00,76929637,https://hk.jobsdb.com/job/76929637
Senior Finance Analyst (Ref:. C801),Jebsen Beverage Company Limited,3,FALSE,"Causeway Bay, Wan Chai District",Accounting,,2024-06-27 18:00,76875535,https://hk.jobsdb.com/job/76875535
Project Executive / Project Assistant,Universal Design (International) Limited,2,TRUE,Tsuen Wan District,Marketing & Communications,,2024-06-27 18:00,76861829,https://hk.jobsdb.com/job/76861829
"Assistant Officer, Diamond Department (Data Analysis)",CHOW TAI FOOK JEWELLERY CO LTD,3,FALSE,"Central, Central and Western District","Manufacturing, Transport & Logistics",,2024-06-28 18:00,76908829,https://hk.jobsdb.com/job/76908829
HR Project Manager,Taste of Asia Group Limited,,FALSE,"San Po Kong, Wong Tai Sin District",Information & Communication Technology,,2024-06-30 14:00,76935290,https://hk.jobsdb.com/job/76935290
"Data Analyst (BI, Data Modelling) - HK Listed MNC",Charterhouse Limited,1,FALSE,Central and Western District,Science & Technology,,2024-06-28 18:00,76895833,https://hk.jobsdb.com/job/76895833
Business Analyst,Soleil Jobs Company,,FALSE,"Ngau Tau Kok, Kwun Tong District",Banking & Financial Services,,2024-06-21 18:00,76747338,https://hk.jobsdb.com/job/76747338
Assistant Business Planning Manager (Management Accounting/Analytics) - CSF7,HKT,6,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-28 18:00,76912226,https://hk.jobsdb.com/job/76912226
Administrative & Project Assistant,Masterpiece Valuation Advisory Limited,2,FALSE,"Sheung Wan, Central and Western District",Administration & Office Support,,2024-06-29 18:00,76929730,https://hk.jobsdb.com/job/76929730
Project Manager 〜 Government Up45k,KOS International Limited,3,FALSE,Central and Western District,Information & Communication Technology,"Bouns, Medical, AL, MPF",2024-06-28 18:00,76910056,https://hk.jobsdb.com/job/76910056
Business Analyst,Master Concept (Hong Kong) Limited,3,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-20 18:00,76717410,https://hk.jobsdb.com/job/76717410
Senior Data Analyst,Hutchison Ports Limited,5,FALSE,"Tsing Yi, Kwai Tsing District",Consulting & Strategy,,2024-06-25 18:00,76813382,https://hk.jobsdb.com/job/76813382
Insurance - Analyst / Senior Analyst (18-21k) [Non-Sales],WallStone Partners & Company Limited,,FALSE,"Quarry Bay, Eastern District",Insurance & Superannuation,"$18,000 - $21,000 per month",2024-06-28 18:00,76910221,https://hk.jobsdb.com/job/76910221
Senior E-commerce Executive (China Market),Strawberry Cosmetics (Services) Limited,2,TRUE,"Kwun Tong, Kwun Tong District",Marketing & Communications,,2024-06-28 18:00,76900422,https://hk.jobsdb.com/job/76900422
Assistant Information Technology Manager / Project Manager,Hong Kong Baptist University,7,FALSE,"Kowloon Tong, Kowloon City District",Education & Training,,2024-06-26 18:00,76840363,https://hk.jobsdb.com/job/76840363
Consultant Trainee / Asset Management Consultant (Welcome Fresh Graduates),**Private,5,FALSE,"Causeway Bay, Wan Chai District",Insurance & Superannuation,"$29,999 - $44,999 per month",2024-06-27 18:00,76873006,https://hk.jobsdb.com/job/76873006
IT Project Manager / Business Analyst,IO TECH SOLUTIONS LIMITED,5,FALSE,Hong Kong,Information & Communication Technology,,2024-06-21 18:00,76760469,https://hk.jobsdb.com/job/76760469
Systems Analyst (Cloud Infra Architect) (Ref: 2400002I),MTR Corporation Limited,5,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76896796,https://hk.jobsdb.com/job/76896796
Insurance Claims Handler / Loss Adjuster,Toplis & Harding (Hong Kong) Limited,1,FALSE,"Kwun Tong, Kwun Tong District",Insurance & Superannuation,,2024-06-27 18:00,76873982,https://hk.jobsdb.com/job/76873982
Senior Financial Analyst,Hang Lung Properties Limited,,FALSE,"Central, Central and Western District",Accounting,,2024-06-27 18:00,72762416,https://hk.jobsdb.com/job/72762416
Business Analyst,Shiji Information Technology (Hong Kong) Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$20,000 - $25,000 per month",2024-06-14 18:00,74488505,https://hk.jobsdb.com/job/74488505
ERP Specialist (System Analyst/Business Analyst),Zabin Industries (Hong Kong) Ltd,5,TRUE,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-21 18:00,76748546,https://hk.jobsdb.com/job/76748546
Data Analyst - (Data Platform Management),Bank of China (Hong Kong) Limited,2,TRUE,Hong Kong,Information & Communication Technology,,2024-06-25 18:00,76816918,https://hk.jobsdb.com/job/76816918
Business Planning Analyst at YesStyle.com Limited,Jobsdb - SmartHire,,FALSE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-26 18:00,76845172,https://hk.jobsdb.com/job/76845172
Insurance Group - Business Analyst - Agency Project - $60k,Gravitas Recruitment Group (Hong Kong) Limited,4,FALSE,Central and Western District,Information & Communication Technology,$45k - $60k p.a.,2024-06-14 18:00,76576999,https://hk.jobsdb.com/job/76576999
Senior Information Technology Manager - Project Management & Business Analysis,"Nanyang Commercial Bank, Limited",1,TRUE,"Central, Central and Western District",Information & Communication Technology,,2024-06-27 18:00,76581239,https://hk.jobsdb.com/job/76581239
"Business Analyst Trainee  (5-day work, 15-20K) (IANG/Fresh Graduate Welcomed)",Fran & Wen Profit,,TRUE,"Kwun Tong, Kwun Tong District",Banking & Financial Services,,2024-06-21 18:00,76747176,https://hk.jobsdb.com/job/76747176
Programmer,Global Smart Development Limited,2,FALSE,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-29 18:00,76913258,https://hk.jobsdb.com/job/76913258
Mobile Banking (FinTech): Senior BA / BA - Major Bank,IT Solutions Ltd.,,TRUE,Hong Kong,Information & Communication Technology,,2024-06-29 18:00,76928081,https://hk.jobsdb.com/job/76928081
IT Manager - Infrastructure & Service Management,SF Supply Chain (Hong Kong) Limited,8,FALSE,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-06-29 18:00,76912934,https://hk.jobsdb.com/job/76912934
Business Analyst Trainee,Hung Hing Printing Group Ltd,,FALSE,Sha Tin District,Information & Communication Technology,,2024-06-24 18:00,76773453,https://hk.jobsdb.com/job/76773453
Data Analyst - Supply Chain,AS Watson Retail (HK) Limited,3,TRUE,"Whampoa Garden, Kowloon City District","Manufacturing, Transport & Logistics",,2024-06-24 18:00,76779686,https://hk.jobsdb.com/job/76779686
Program Manager / Senior Project Manager - Infrastructure,Arcadis,1,TRUE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76897093,https://hk.jobsdb.com/job/76897093
Assistant Project Manager (E&M),South-East Asia Investment & Agency Co Ltd,6,FALSE,"Wan Chai, Wan Chai District",Construction,,2024-06-28 18:00,76894344,https://hk.jobsdb.com/job/76894344
IT Business Analyst,ALDI Services Asia Limited,1,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-20 18:00,76703279,https://hk.jobsdb.com/job/76703279
Project Manager,NCSI (HK) Limited,8,FALSE,"Tai Koo, Eastern District",Information & Communication Technology,,2024-06-26 18:00,76847333,https://hk.jobsdb.com/job/76847333
Assistant Quality Assurance Officer,World-Link Logistics (Asia) Holding Limited,,FALSE,Tsuen Wan District,"Manufacturing, Transport & Logistics",,2024-06-27 18:00,76861379,https://hk.jobsdb.com/job/76861379
Analyst Programmer/ Programmer (Web/ Mobile),A&A Limited,3,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-27 18:00,76866845,https://hk.jobsdb.com/job/76866845
Assistant Business Analyst / IT Development Group / (WFH Policy) (Ref: GISS),Yusen Logistics Global Management Limited,1,FALSE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-20 18:00,76058768,https://hk.jobsdb.com/job/76058768
Business Analyst (International Wealth Management - System Service Team),KGI Hong Kong Limited,1,FALSE,Wan Chai District,Information & Communication Technology,,2024-06-19 18:00,76687493,https://hk.jobsdb.com/job/76687493
Business Analyst / Senior Business Analyst,SML (Hong Kong) Limited,3,TRUE,Kwun Tong District,Information & Communication Technology,,2024-06-20 18:00,76717319,https://hk.jobsdb.com/job/76717319
"Officer to Assistant Manager, Product Compliance, CUD",Industrial and Commercial Bank of China (Asia) Limited,,FALSE,"Central, Central and Western District",Banking & Financial Services,,2024-06-27 18:00,76858298,https://hk.jobsdb.com/job/76858298
Business Analyst (Loyalty program),PERSOLKELLY Hong Kong Limited,2,FALSE,Hong Kong Island,Marketing & Communications,"$25,000 - $30,000 per month",2024-06-20 18:00,76709791,https://hk.jobsdb.com/job/76709791
Quality Assurance(Customer Services) Officer (Fresh graduates are welcome),MediConCen Limited,,TRUE,"San Po Kong, Wong Tai Sin District",Administration & Office Support,,2024-06-28 18:00,76910097,https://hk.jobsdb.com/job/76910097
IT Business Analyst,JFE Consulting Limited,,FALSE,Hong Kong,Information & Communication Technology,,2024-06-19 18:00,76678895,https://hk.jobsdb.com/job/76678895
IT Business Analyst / Project Consultant (OS),Ringus Solution Enterprise Limited,1,FALSE,"Mong Kok, Yau Tsim Mong District",Information & Communication Technology,,2024-06-22 18:00,76750904,https://hk.jobsdb.com/job/76750904
"Assistant Manager/ Manager, Regtech Projects",Shanghai Commercial Bank Ltd,3,FALSE,"North Point, Eastern District",Banking & Financial Services,,2024-06-28 18:00,74665180,https://hk.jobsdb.com/job/74665180
Business Analyst,Green Tomato Limited,1,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-18 18:00,75341607,https://hk.jobsdb.com/job/75341607
System Analyst,Hip Hing Construction Co Ltd,2,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-26 18:00,76589105,https://hk.jobsdb.com/job/76589105
System Analyst (Ref.: IT-SA),Po Leung Kuk,5,FALSE,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-06-25 18:00,76802250,https://hk.jobsdb.com/job/76802250
Payment & SWIFT System Projects: Senior BA / BA - Major Bank,IT Solutions Ltd.,,TRUE,Hong Kong,Information & Communication Technology,,2024-06-27 18:00,76860317,https://hk.jobsdb.com/job/76860317
Business Analyst,Ricacorp Properties Limited,1,FALSE,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-06-18 18:00,76657026,https://hk.jobsdb.com/job/76657026
"ITO - Business Analyst (contract 12 months, renewable)",Resource Solutions Consulting Hong Kong Limited,8,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-13 18:00,76568408,https://hk.jobsdb.com/job/76568408
財富管理經理 / 高級財富管理經理,China Life Insurance (Overseas) Company Limited,,FALSE,"Hung Hom, Kowloon City District",Banking & Financial Services,"$40,000 - $60,000 per month",2024-06-27 18:00,76761733,https://hk.jobsdb.com/job/76761733
Commercial Assistant Finance Manager / Finance Analyst,"The Dairy Farm Company, Limited",3,TRUE,Hong Kong,Accounting,,2024-06-26 18:00,76825663,https://hk.jobsdb.com/job/76825663
Business Analyst / Senior Business Analyst,Automated Systems (HK) Ltd,2,FALSE,Hong Kong,Information & Communication Technology,,2024-06-13 18:00,73528485,https://hk.jobsdb.com/job/73528485
Assistant Commercial Officer,Hong Kong Aircraft Engineering Co Ltd,1,TRUE,"Tung Chung, Islands District",Sales,,2024-06-27 18:00,76870343,https://hk.jobsdb.com/job/76870343
Assistant / Financial Analyst,Hutchison Telecommunications (Hong Kong) Limited,2,FALSE,"Tsing Yi, Kwai Tsing District",Accounting,,2024-06-28 18:00,76541989,https://hk.jobsdb.com/job/76541989
"Business Analyst, Financial Digital Transformation",Company Confidential,5,FALSE,Hong Kong,Information & Communication Technology,,2024-06-20 18:00,76693741,https://hk.jobsdb.com/job/76693741
Commercial Assistant Finance Manager / Finance Analyst,DFI Development (HK) Limited,3,TRUE,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-06-25 18:00,76817894,https://hk.jobsdb.com/job/76817894
Mobile Consultant,HKT Consumer Business Group,,FALSE,Hong Kong,Call Centre & Customer Service,,2024-06-27 18:00,76880910,https://hk.jobsdb.com/job/76880910
Project Manager (Quant Trading) - Prominent Global Crypto Exchange Firm,Pinpoint Asia,6,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,"$60,000 - $75,000 per month",2024-06-27 18:00,76418870,https://hk.jobsdb.com/job/76418870
Digital Transformation Project Manager - Leading Financial Institution,Pinpoint Asia,6,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,"$40,000 - $60,000 per month",2024-06-27 18:00,76880657,https://hk.jobsdb.com/job/76880657
Senior Finance Analyst (FP&A) (Science Park),Johnson Electric Industrial Manufactory Limited,2,FALSE,"Science Park, Tai Po District",Accounting,,2024-06-26 18:00,76830192,https://hk.jobsdb.com/job/76830192
"Project Manager-Call Centre Revamp Project-up to HKD 75,000/month + bonus",Techforce Group Limited,8,FALSE,Central and Western District,Information & Communication Technology,"$65,000 - $80,000 per month",2024-06-28 18:00,76895301,https://hk.jobsdb.com/job/76895301
"IT Business Analyst (Testing Focus) (Up to $28,000, Contract based)",TSS,2,FALSE,"Kowloon Tong, Kowloon City District",Information & Communication Technology,"$24,000 - $30,000 per month",2024-06-20 18:00,76702043,https://hk.jobsdb.com/job/76702043
Major Bank: BA / Senior BA (Wealth Management System),IT Solutions Ltd.,2,TRUE,Hong Kong,Information & Communication Technology,"$30,000 - $45,000 per month",2024-06-22 18:00,76761104,https://hk.jobsdb.com/job/76761104
"AVP to SVP, Financial Technology Department",Industrial and Commercial Bank of China (Asia) Limited,5,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76886262,https://hk.jobsdb.com/job/76886262
Finance Analyst (Digital),Hong Kong Aero Engine Services Ltd,3,FALSE,"Tseung Kwan O Industrial Estate, Sai Kung District",Accounting,,2024-06-24 18:00,76776639,https://hk.jobsdb.com/job/76776639
